geoname_id,locale_code,continent_code,continent_name,country_name,city_name,is_in_european_union,ua_city_name
691076,en,EU,Europe,Ukraine,Tsuman,0,
691109,en,EU,Europe,Ukraine,Tsetsenivka,0,
691179,en,EU,Europe,Ukraine,Truskavets,0,Трускавець
691202,en,EU,Europe,Ukraine,Trudove,0,
691255,en,EU,Europe,Ukraine,Trostyanets',0,
691266,en,EU,Europe,Ukraine,Trostianets,0,Тростянець
691278,en,EU,Europe,Ukraine,Trokovychi,0,
691293,en,EU,Europe,Ukraine,Troyits'ko-Khartsyz'k,0,
691336,en,EU,Europe,Ukraine,Trebukhiv,0,
691374,en,EU,Europe,Ukraine,Chystyakove,0,
691469,en,EU,Europe,Ukraine,Tokmak,0,
691497,en,EU,Europe,Ukraine,Tlumach,0,
691578,en,EU,Europe,Ukraine,Tetiiv,0,
691628,en,EU,Europe,Ukraine,Ternivka,0,
691650,en,EU,Europe,Ukraine,Ternopil,0,Тернопіль
691693,en,EU,Europe,Ukraine,Terebovlia,0,
691708,en,EU,Europe,Ukraine,Teplyk,0,
691803,en,EU,Europe,Ukraine,Tatarbunary,0,
691904,en,EU,Europe,Ukraine,Tarashcha,0,
691905,en,EU,Europe,Ukraine,Tarashcha,0,
691936,en,EU,Europe,Ukraine,Talne,0,
691993,en,EU,Europe,Ukraine,Synove,0,
691999,en,EU,Europe,Ukraine,Sievierodonetsk,0,
692016,en,EU,Europe,Ukraine,Svyatogorsk,0,
692068,en,EU,Europe,Ukraine,Svydivok,0,
692087,en,EU,Europe,Ukraine,Svitlovodsk,0,Світловодськ
692102,en,EU,Europe,Ukraine,Svessa,0,
692118,en,EU,Europe,Ukraine,Svatove,0,
692129,en,EU,Europe,Ukraine,Svaliava,0,
692146,en,EU,Europe,Ukraine,Sutysky,0,
692194,en,EU,Europe,Ukraine,Sumy,0,Суми
692254,en,EU,Europe,Ukraine,Sukhodilsk,0,
692301,en,EU,Europe,Ukraine,Sudova Vyshnia,0,
692315,en,EU,Europe,Ukraine,Sudak,0,
692325,en,EU,Europe,Ukraine,Styla,0,
692372,en,EU,Europe,Ukraine,Stryi,0,
692444,en,EU,Europe,Ukraine,Strilky,0,
692485,en,EU,Europe,Ukraine,Storozhnytsia,0,
692487,en,EU,Europe,Ukraine,Storozhynets,0,
692632,en,EU,Europe,Ukraine,Stebnyk,0,
692674,en,EU,Europe,Ukraine,Stavishche,0,
692686,en,EU,Europe,Ukraine,Stavchany,0,
692702,en,EU,Europe,Ukraine,Staryi Sambir,0,
692737,en,EU,Europe,Ukraine,Stari Petrivtsi,0,
692743,en,EU,Europe,Ukraine,Stari Kryvotuly,0,
692818,en,EU,Europe,Ukraine,Starokostiantyniv,0,
692832,en,EU,Europe,Ukraine,Starobil's'k,0,
692844,en,EU,Europe,Ukraine,Starychi,0,Старичі
692856,en,EU,Europe,Ukraine,Stara Vyzhivka,0,
692866,en,EU,Europe,Ukraine,Stara Syniava,0,
692882,en,EU,Europe,Ukraine,Murafa,0,
692908,en,EU,Europe,Ukraine,Chervone Pole,0,
692944,en,EU,Europe,Ukraine,Stanislav,0,
692956,en,EU,Europe,Ukraine,Bukivka,0,
692978,en,EU,Europe,Ukraine,Stadnitsa,0,
693010,en,EU,Europe,Ukraine,Sribne,0,
693020,en,EU,Europe,Ukraine,Yampil,0,
693096,en,EU,Europe,Ukraine,Sosnova,0,
693100,en,EU,Europe,Ukraine,Sosnytsya,0,
693176,en,EU,Europe,Ukraine,Solotvyno,0,
693194,en,EU,Europe,Ukraine,Solonytsivka,0,
693231,en,EU,Europe,Ukraine,Solone,0,
693257,en,EU,Europe,Ukraine,Sokolivka,0,
693265,en,EU,Europe,Ukraine,Sokoliv,0,
693284,en,EU,Europe,Ukraine,Sokyryany,0,
693301,en,EU,Europe,Ukraine,Sokal,0,
693354,en,EU,Europe,Ukraine,Sobolivka,0,
693365,en,EU,Europe,Ukraine,Sniatyn,0,
693379,en,EU,Europe,Ukraine,Snihurivka,0,
693385,en,EU,Europe,Ukraine,Snezhkov,0,
693410,en,EU,Europe,Ukraine,Smordva,0,
693426,en,EU,Europe,Ukraine,Smoline,0,
693434,en,EU,Europe,Ukraine,Smodna,0,
693456,en,EU,Europe,Ukraine,Smila,0,
693457,en,EU,Europe,Ukraine,Smila,0,
693468,en,EU,Europe,Ukraine,Sloviansk,0,
693581,en,EU,Europe,Ukraine,Slavuta,0,
693615,en,EU,Europe,Ukraine,Skvyra,0,
693652,en,EU,Europe,Ukraine,Skomorokhy,0,
693658,en,EU,Europe,Ukraine,Skole,0,
693665,en,EU,Europe,Ukraine,Sknyliv,0,
693700,en,EU,Europe,Ukraine,Skalat,0,
693709,en,EU,Europe,Ukraine,Skadovsk,0,
693796,en,EU,Europe,Ukraine,Synelnykove,0,
693805,en,EU,Europe,Ukraine,Simferopol,0,Сімферополь
693870,en,EU,Europe,Ukraine,Shumsk,0,
693878,en,EU,Europe,Ukraine,Shumbar,0,
693920,en,EU,Europe,Ukraine,Shpola,0,
693942,en,EU,Europe,Ukraine,Shostka,0,Шостка
693995,en,EU,Europe,Ukraine,Shklo,0,
694013,en,EU,Europe,Ukraine,Shyshaky,0,
694048,en,EU,Europe,Ukraine,Shyroke,0,
694064,en,EU,Europe,Ukraine,Shyroka Hreblia,0,
694086,en,EU,Europe,Ukraine,Shylivtsi,0,
694132,en,EU,Europe,Ukraine,Shevchenkove,0,
694152,en,EU,Europe,Ukraine,Shevchenkove,0,
694216,en,EU,Europe,Ukraine,Shepetivka,0,
694273,en,EU,Europe,Ukraine,Snovsk,0,
694333,en,EU,Europe,Ukraine,Shatsk,0,
694350,en,EU,Europe,Ukraine,Sharhorod,0,
694382,en,EU,Europe,Ukraine,Shakhtarsk,0,
694422,en,EU,Europe,Ukraine,Sebastopol City,0,
694423,en,EU,Europe,Ukraine,Sevastopol,0,
694538,en,EU,Europe,Ukraine,Sen'kovka,0,
694560,en,EU,Europe,Ukraine,Semenivka,0,
694590,en,EU,Europe,Ukraine,Semenivka,0,
694617,en,EU,Europe,Ukraine,Semenivka,0,
694677,en,EU,Europe,Ukraine,Selidovo,0,
694734,en,EU,Europe,Ukraine,Sazonivka,0,
694745,en,EU,Europe,Ukraine,Savran',0,
694792,en,EU,Europe,Ukraine,Sarny,0,Сарни
694801,en,EU,Europe,Ukraine,Sarnavshchyna,0,
694864,en,EU,Europe,Ukraine,Sambir,0,Самбір
694910,en,EU,Europe,Ukraine,Saki,0,
694919,en,EU,Europe,Ukraine,Sakhnovshchyna,0,
694927,en,EU,Europe,Ukraine,Sahunivka,0,
694974,en,EU,Europe,Ukraine,Sadki,0,
695082,en,EU,Europe,Ukraine,Ruzhyn,0,
695104,en,EU,Europe,Ukraine,Ruska Poliana,0,
695133,en,EU,Europe,Ukraine,Rude Selo,0,
695201,en,EU,Europe,Ukraine,Rudnya,0,
695274,en,EU,Europe,Ukraine,Rubizhne,0,
695298,en,EU,Europe,Ukraine,Rozvadiv,0,
695315,en,EU,Europe,Ukraine,Rozhniativ,0,
695326,en,EU,Europe,Ukraine,Rozhyshche,0,
695344,en,EU,Europe,Ukraine,Rozdilna,0,
695357,en,EU,Europe,Ukraine,Kurakhove,0,
695362,en,EU,Europe,Ukraine,Rivne,0,Рівне
695379,en,EU,Europe,Ukraine,Rovenky,0,
695397,en,EU,Europe,Ukraine,Roztoky,0,
695464,en,EU,Europe,Ukraine,Romny,0,Ромни
695486,en,EU,Europe,Ukraine,Romanivka,0,
